yali1,yali0,ec,n_mnxr,n_balanced_mnxr,rep_mnxr,mnxr_unique,rep_balanced,priority_pathway,pathways,tier,note
YALI1_E25812g,YALI0E21802g,2.1.1.362,2,1,MNXR164954,no,yes,no,00310;01100,T3_ambiguous,EC->2 MNXR (1 balanced)
YALI1_E26872g,YALI0E22715g,2.1.1.360,2,1,MNXR164965,no,yes,no,00310;01100,T3_ambiguous,EC->2 MNXR (1 balanced)
YALI1_E27077g,YALI0E22913g,2.1.1.100,17,3,MNXR115033,no,yes,no,00900;01110,T3_ambiguous,EC->17 MNXR (3 balanced)
YALI1_E34238g,YALI0E28941g,2.4.1.259;2.4.1.261,7,3,MNXR121812,no,yes,no,00510;00513;01100,T3_ambiguous,EC->7 MNXR (3 balanced)
YALI1_F09720g,YALI0F06556g,6.2.1.12,20,16,MNXR107386,no,yes,no,00130;01100;01110,T3_ambiguous,EC->20 MNXR (16 balanced)
YALI1_F13875g,YALI0F10197g,1.4.3.3,32,23,MNXR100352,no,yes,no,00260;00311;00330;00470;01100;01110,T3_ambiguous,EC->32 MNXR (23 balanced)
YALI1_F14688g,YALI0F11033g,3.4.24.84,5,2,MNXR117100,no,yes,no,00900;01110,T3_ambiguous,EC->5 MNXR (2 balanced)
YALI1_F19899g,YALI0F14927g,3.2.1.106,5,2,MNXR115318,no,yes,no,00510;01100,T3_ambiguous,EC->5 MNXR (2 balanced)
YALI1_F26620g,YALI0F19998g,4.2.1.96,5,2,MNXR104802,no,yes,no,00790;01100,T3_ambiguous,EC->5 MNXR (2 balanced)
YALI1_F26726g,YALI0F20108g,2.5.1.87,5,3,MNXR123087,no,yes,no,00900;01110,T3_ambiguous,EC->5 MNXR (3 balanced)
YALI1_F32880g,YALI0F25575g,2.5.1.18,87,52,MNXR104634,no,yes,no,00480;01100,T3_ambiguous,EC->87 MNXR (52 balanced)
YALI1_F34729g,YALI0F27357g,2.3.1.181,13,2,MNXR117875,no,yes,no,00785;01100;01240,T3_ambiguous,EC->13 MNXR (2 balanced)
YALI1_F38248g,YALI0F30591g,1.4.3.3,32,23,MNXR100352,no,yes,no,00260;00311;00330;00470;01100;01110,T3_ambiguous,EC->32 MNXR (23 balanced)
YALI1_B13699g,YALI0B10153g,1.14.19.22;1.14.19.6,20,0,MNXR114347,no,no,yes,01040;01100;01212,T4_no_balanced,no balanced MNXR
YALI1_A20370g,YALI0A19426g,1.11.1.25;1.11.1.27,6,0,MNXR165016,no,no,no,00480;01100,T4_no_balanced,no balanced MNXR
