met_id,met_name,compartment,formula,charge,has_annotation,annotation_keys,has_bigg,has_kegg,has_metanetx,has_chebi,has_hmdb,has_inchikey,has_pubchem,has_seed,has_formula,has_charge,n_reactions,base_name,same_base_annotated,annotated_twin_id
m1110[C_va],spermidine_C7H19N3,C_va,C7H19N3,3,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,1,spermidine,True,m467[C_cy]
m1111[C_ex],spermine_C10H26N4,C_ex,C10H26N4,0,True,"bigg.metabolite,biggM,metanetx.chemical",True,False,True,False,False,False,False,False,True,True,2,spermine,True,m902[C_cy]
m1112[C_va],spermine_C10H26N4,C_va,C10H26N4,0,True,"bigg.metabolite,biggM,metanetx.chemical",True,False,True,False,False,False,False,False,True,True,1,spermine,True,m902[C_cy]
m1113[C_ex],sulphate_H2O4S,C_ex,H2O4S,0,False,,False,False,False,False,False,False,False,False,True,True,2,sulphate,False,
m1114[C_ex],sulphite_H2O3S,C_ex,H2O3S,0,False,,False,False,False,False,False,False,False,False,True,True,2,sulphite,False,
m1115[C_ex],taurine_C2H7NO3S,C_ex,C2H7NO3S,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,taurine,True,m967[C_cy]
m1116[C_mi],TDP_,C_mi,,0,False,,False,False,False,False,False,False,False,False,False,True,1,TDP_,False,
m1117[C_ex],uracil_C4H4N2O2,C_ex,C4H4N2O2,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,False,True,True,2,uracil,True,m451[C_cy]
m1118[C_ex],urea_CH4N2O,C_ex,CH4N2O,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,urea,True,m285[C_cy]
m1119[C_ex],uridine_C9H12N2O6,C_ex,C9H12N2O6,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,uridine,True,m150[C_cy]
m1120[C_mi],UMP_C9H13N2O9P,C_mi,C9H13N2O9P,-2,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,UMP,True,m149[C_cy]
m1121[C_mi],UTP_C9H15N2O15P3,C_mi,C9H15N2O15P3,-4,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,UTP,True,m439[C_cy]
m1123[C_cy],(1-3)-beta-D-glucan_,C_cy,,0,False,,False,False,False,False,False,False,False,False,False,True,7,(1-3)-beta-D-glucan_,False,
m1130[C_ex],(S)-malate_C4H6O5,C_ex,C4H6O5,-2,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,slm,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,3,(S)-malate,True,m538[C_mi]
m1133[C_ex],1-acylglycerophosphocholine_C9H20NO7PR,C_ex,C9H20NO7PR,0,False,,False,False,False,False,False,False,False,False,True,True,2,1-acylglycerophosphocholine_C9H20NO7PR,False,
m1135[C_ex],2'-deoxyadenosine_C10H13N5O3,C_ex,C10H13N5O3,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,2'-deoxyadenosine,True,m912[C_cy]
m1137[C_ex],2'-deoxyguanosine_C10H13N5O4,C_ex,C10H13N5O4,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,2'-deoxyguanosine,True,m913[C_cy]
m1139[C_ex],2'-deoxyinosine_C10H12N4O4,C_ex,C10H12N4O4,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,2'-deoxyinosine,True,m914[C_cy]
m1141[C_ex],2'-deoxyuridine_,C_ex,,0,False,,False,False,False,False,False,False,False,False,False,True,2,2'-deoxyuridine_,False,
m1143[C_ex],2-isopropylmalate_C7H12O5,C_ex,C7H12O5,0,True,"chebi,metanetx.chemical",False,False,True,True,False,False,False,False,True,True,2,2-isopropylmalate,True,m66[C_cy]
m1145[C_ex],2-oxoglutarate_C5H6O5,C_ex,C5H6O5,-2,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,slm,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,3,2-oxoglutarate,True,m51[C_cy]
