rxn_id,rxn_name,rxn_type,root_cause,detail,has_gpr,lb,ub,compartments,n_orphan_mets,n_deadend_mets,orphan_mets,deadend_mets,reaction_str
R888,"L-leucine transport, vacuoluar",transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m1080[C_va] --> m10[C_cy] + m775[C_cy]
R897,L-tyrosine transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m992[C_cy] --> m1089[C_va] + m10[C_cy]
R898,L-tyrosine transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m1089[C_va] --> m10[C_cy] + m992[C_cy]
R91,acetyl-CoA synthetase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_mi,0,0,,,m201[C_mi] + m46[C_mi] + m73[C_mi] --> m204[C_mi] + m48[C_mi] + m71[C_mi]
R918,putrescine transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,1,,m1102[C_va],m1007[C_va] + m850[C_cy] --> m10[C_cy] + m1102[C_va]
R92,acetyl-CoA synthetase nuclear,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_nu,0,1,,m210[C_nu],m205[C_nu] + m206[C_nu] + m207[C_nu] --> m208[C_nu] + m209[C_nu] + m210[C_nu]
R925,spermidine transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,1,,m1110[C_va],m1007[C_va] + m467[C_cy] --> m10[C_cy] + m1110[C_va]
R927,spermine transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,1,,m1112[C_va],m1007[C_va] + m902[C_cy] --> m10[C_cy] + m1112[C_va]
R1003,adenine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1026[C_ex],,m1026[C_ex] --> 
R1007,adenosine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1027[C_ex],,m1027[C_ex] --> 
R1011,allantoate exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1029[C_ex],,m1029[C_ex] --> 
R1012,allantoin exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1030[C_ex],,m1030[C_ex] --> 
R1013,"alpha,alpha-trehalose exchange",exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1167[C_ex],,m1167[C_ex] --> 
R1023,bicarbonate exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1172[C_ex] --> 
R1029,biotin exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,-1000.0,1000.0,C_ex,0,0,,,m1032[C_ex] <=> 
R1041,choline exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1037[C_ex],,m1037[C_ex] --> 
R1058,cytidine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1040[C_ex],,m1040[C_ex] --> 
R1061,cytosine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1041[C_ex],,m1041[C_ex] --> 
R1065,D-fructose exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m963[C_ex] --> 
R1066,D-galactose exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1042[C_ex],,m1042[C_ex] --> 
R1067,D-galacturonate exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1197[C_ex],,m1197[C_ex] --> 
R1068,D-glucitol exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1199[C_ex] --> 
R1071,D-mannose exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1044[C_ex],,m1044[C_ex] --> 
R1072,D-ribose exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1203[C_ex],,m1203[C_ex] --> 
R1074,D-xylose exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1205[C_ex] --> 
R1083,decanoate exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1207[C_ex],,m1207[C_ex] --> 
R1086,deoxycytidine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1209[C_ex],,m1209[C_ex] --> 
