reaction_id,reaction_name,reaction_type,has_annotation,has_real_annotation,annotation_keys,has_bigg,has_kegg,has_metanetx,has_rhea,has_ec,has_sbo,has_gpr,n_genes,gene_has_ec,gene_ec_codes,gene_has_uniprot,n_metabolites,met_mnxm_coverage,met_all_have_mnxm,compartments,is_blocked
R2198,"O3-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase (reducing, L-cysteine-forming); O3-acetyl-L-serine acetate-lyase (thiosulfate-reducing, L-cysteine-forming)",metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,3,True,2.5.1.47,True,8,1.0,True,C_cy,True
R2199,L-Cysteine:2-oxoglutarate aminotransferase,metabolic,True,True,"kegg.reaction,keggr,metanetx.reaction,seed.reaction,seedr",False,True,True,False,False,False,True,2,True,2.6.1.1,True,4,0.75,False,C_cy,True
R2200,L-cysteinylglycine dipeptidase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,False,,True,4,0.75,False,C_cy,False
R2201,glutathione gamma-glutamylaminopeptidase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,2,False,,True,4,0.75,False,C_cy,False
R2202,carbonate hydro-lyase (carbon-dioxide-forming); carbonic acid hydro-lyase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,4.2.1.1,True,4,1.0,True,C_cy,False
R2203,3-Mercaptopyruvate:cyanide sulfurtransferase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction,seed.reaction,seedr,vmhr,vmhreaction",True,False,True,False,False,False,True,1,False,,True,4,0.75,False,C_cy,True
R2204,L-methionine:oxidized-thioredoxin S-oxidoreductase,metabolic,True,True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,True,1,False,,True,5,1.0,True,C_cy,True
R2205,glycine:oxygen oxidoreductase;Aminoacetic acid:oxygen oxidoreductase,metabolic,False,False,,False,False,False,False,False,False,True,1,False,,True,6,1.0,True,C_cy,False
R2206,Ferrocytochrome-c:oxygen oxidoreductase,metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,3,True,7.1.1.9,True,4,1.0,True,C_mi,False
R2207,nitrilase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr",True,True,True,True,False,False,True,2,False,,True,4,0.75,False,C_cy,True
R2208,Indole_3_acetonitrile exchange,exchange,False,False,,False,False,False,False,False,False,False,0,False,,False,1,0.0,False,C_ex,True
R2209,Indole_3_acetonitrile transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,0.0,False,"C_cy,C_ex",True
R2210,nitrilase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr",True,True,True,True,False,False,True,2,False,,True,4,0.75,False,C_cy,True
R2211,alpha_Aminopropiononitrile exchange,exchange,False,False,,False,False,False,False,False,False,False,0,False,,False,1,0.0,False,C_ex,True
R2212,alpha_Aminopropiononitrile transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,0.0,False,"C_cy,C_ex",True
R2213,nitrilase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr",True,True,True,True,False,False,True,2,False,,True,4,0.75,False,C_cy,True
R2214,gamma_Amino_gamma_cyanobutanoate exchange,exchange,False,False,,False,False,False,False,False,False,False,0,False,,False,1,0.0,False,C_ex,True
R2215,gamma_Amino_gamma_cyanobutanoate transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,0.0,False,"C_cy,C_ex",True
R2216,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_mi",True
R2217,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,1.0,True,C_cy,True
R2218,fatty acyl ACP synthase n C100ACP mitochondrial,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,4,False,,True,9,0.7778,False,C_mi,True
R2219,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_mi",True
R2220,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,1.0,True,C_cy,True
R2221,fatty acyl ACP synthase n C120ACP mitochondrial,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,4,False,,True,9,0.7778,False,C_mi,True
R2222,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_mi",True
R2223,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,1.0,True,C_cy,True
R2224,fatty acyl ACP synthase n C140ACP mitochondrial,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,4,False,,True,9,0.7778,False,C_mi,True
R2225,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_mi",False
R2226,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,1.0,True,C_cy,False
R2227,fatty acyl ACP synthase n C141ACP mitochondrial,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,4,False,,True,10,0.7,False,C_mi,True
R2228,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,0.0,False,"C_cy,C_mi",True
R2229,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,0.8,False,C_cy,True
R2230,fatty acyl ACP synthase n C160ACP mitochondrial,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,4,False,,True,9,0.7778,False,C_mi,False
R2231,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_mi",False
R2232,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,1.0,True,C_cy,False
R2233,fatty acyl ACP synthase n C161ACP mitochondrial,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,4,False,,True,10,0.7,False,C_mi,False
R2234,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,0.0,False,"C_cy,C_mi",False
R2235,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,0.8,False,C_cy,False
R2236,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_mi",True
R2237,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,1.0,True,C_cy,True
R2238,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_mi",True
R2239,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,1.0,True,C_cy,True
R2240,fatty acyl ACP mitochondrial transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_mi",True
R2241,fatty acyl ACP hydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,1.1.1.100|2.3.1.41|2.3.1.86|1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59,True,5,0.8,False,C_cy,True
R2242,2 octaprenyl 6 hydroxyphenol methylase nuclear,metabolic,False,False,,False,False,False,False,False,False,True,1,True,2.1.1.-,True,5,1.0,True,C_nu,True
R2243,S_Adenosyl_L_methionine transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_nu",True
R2244,S_Adenosyl_L_methionine transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_em",True
R2245,S_Adenosyl_L_homocysteine transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_nu",True
R2246,S_Adenosyl_L_homocysteine transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_em",True
R2247,Octaprenyl hydroxybenzoate decarboxylase,metabolic,False,False,,False,False,False,False,False,False,True,1,False,,True,4,1.0,True,C_cy,True
R2248,2 Octaprenylphenol hydroxylase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction,seed.reaction,seedr",True,False,True,False,False,False,False,0,False,,False,3,1.0,True,C_cy,True
