layer,n_chains,combination,member_chains,prob,cumulative_coverage,verdict
tri,3,myristoyl+myristoyl+oleoyl,myristoyl-CoA;myristoyl-CoA;oleoyl-CoA,5.54058e-06,1.0000,dead
tri,3,lauroyl+lauroyl+linoleoyl,lauroyl-CoA;lauroyl-CoA;linoleoyl-CoA,4.81707e-06,1.0000,dead
tri,3,lauroyl+lauroyl+palmitoyl,lauroyl-CoA;lauroyl-CoA;palmitoyl-CoA,4.59922e-06,1.0000,dead
tri,3,lauroyl+myristoyl+palmitoleoyl,lauroyl-CoA;myristoyl-CoA;palmitoleoyl-CoA,2.77817e-06,1.0000,dead
tri,3,linoleoyl+myristoyl+myristoyl,linoleoyl-CoA;myristoyl-CoA;myristoyl-CoA,2.14092e-06,1.0000,dead
tri,3,lauroyl+lauroyl+palmitoleoyl,lauroyl-CoA;lauroyl-CoA;palmitoleoyl-CoA,2.08362e-06,1.0000,dead
tri,3,myristoyl+myristoyl+palmitoyl,myristoyl-CoA;myristoyl-CoA;palmitoyl-CoA,2.0441e-06,1.0000,dead
tri,3,lauroyl+myristoyl+stearoyl,lauroyl-CoA;myristoyl-CoA;stearoyl-CoA,1.35556e-06,1.0000,dead
tri,3,lauroyl+lauroyl+stearoyl,lauroyl-CoA;lauroyl-CoA;stearoyl-CoA,1.01667e-06,1.0000,dead
tri,3,myristoyl+myristoyl+palmitoleoyl,myristoyl-CoA;myristoyl-CoA;palmitoleoyl-CoA,9.26055e-07,1.0000,dead
tri,3,myristoyl+myristoyl+stearoyl,myristoyl-CoA;myristoyl-CoA;stearoyl-CoA,4.51853e-07,1.0000,dead
tri,3,lauroyl+lauroyl+myristoyl,lauroyl-CoA;lauroyl-CoA;myristoyl-CoA,4.84128e-08,1.0000,dead
tri,3,lauroyl+myristoyl+myristoyl,lauroyl-CoA;myristoyl-CoA;myristoyl-CoA,3.22752e-08,1.0000,dead
tri,3,lauroyl+lauroyl+lauroyl,lauroyl-CoA;lauroyl-CoA;lauroyl-CoA,2.42064e-08,1.0000,dead
tri,3,myristoyl+myristoyl+myristoyl,myristoyl-CoA;myristoyl-CoA;myristoyl-CoA,7.17227e-09,1.0000,dead
