reaction_id,reaction_name,type,n_metabolites,compartments,gene_reaction_rule,metabolite_mnxm_ids,metabolite_bigg_ids
R2043,acyl-CoA synthetase (hexanoate),has_GPR,7,C_pe,YALI1E19172g,"MNXM1094981,MNXM3,MNXM1653,MNXM1,MNXM728294,MNXM11,MNXM1103616","—,atp,caproic,h,amp,ppi,hxcoa"
R2046,Reaction,has_GPR,3,C_go,YALIUNK4,"MNXM1104188,MNXM159904,MNXM157996","gdpmann,—,—"
R2048,Reaction,has_GPR,5,C_go,YALIUNK3,"MNXM157996,MNXM1364687,MNXM1,MNXM57463,WATER","—,mi1p__D,h,—,h2o"
R2053,phosphatidyl-L-serine transport,transport,2,"C_cy,C_gm",YALI1E05004g,"MNXM1371412,MNXM1371412","—,—"
R2056,L-lysine transport,transport,3,"C_cy,C_va",YALI1F35690g or YALI1D29523g or YALI1E21478g,"MNXM1364268,MNXM1,MNXM1364268","lys__L,h,lys__L"
R2057,UDP-D-galactose transport,transport,2,"C_cy,C_go",YALI1E27113g,"MNXM741191,MNXM741191","—,—"
R2058,glyoxylate/hydroxypyruvate reductase,has_GPR,2,C_cy,YALI1C15526g,"—,MNXM55297","—,—"
R2060,Magnesium transport,transport,2,"C_cy,C_ex",YALI1B15440g,"MNXM60936,MNXM60936","—,—"
R2061,Magnesium exchange,exchange,1,C_ex,,MNXM60936,—
R2064,4-aminobutanal:NAD+ 1-oxidoreductase; 4-aminobutyraldehyde:NAD+ oxidoreductase,has_GPR,6,C_cy,YALI1B02194g or YALI1C04093g or YALI1E00588g or YALI1F31215g,"WATER,MNXM64096,—,MNXM1,MNXM10,MNXM192","h2o,—,—,h,nadh,4abut"
R2076,NO NAME,no_GPR,5,C_cy,,"MNXM1094981,MNXM1572,MNXM1,WATER,MNXM738783","—,HC00900,h,h2o,mmcoa__R"
R2077,Succinyl-CoA transport,transport,3,"C_cy,C_mi",,"MNXM1104774,MNXM1104774,MNXM1","succoa,succoa,h"
R2083,3-Methylcrotonyl-CoA transport,transport,2,"C_cy,C_mi",,"MNXM1363972,MNXM1363972","—,—"
R2084,3-Methylbutanoyl-CoA transport,transport,3,"C_cy,C_mi",,"MNXM1363975,MNXM1363975,MNXM1","ivcoa,ivcoa,h"
R2091,Glyceron phosphate transport,transport,2,"C_cy,C_em",,"MNXM731567,—","—,—"
R2101,Dolichyl phosphate D-mannose transport,transport,2,"C_cy,C_er",,"MNXM1106058,MNXM2667","—,dolmanp_U"
