metabolite_id,name,formula,is_lipid,n_reactions_solved,source_reactions
m1452[C_em],trans-docos-2-enoyl-CoA_,C43H76N7O17P3S,yes,1,R1424
m1530[C_pe],trans-docos-2-enoyl-CoA_,C43H76N7O17P3S,yes,1,R1491
m1574[C_pe],trans-dodec-3-enoyl-CoA_,C33H52N7O17P3S,yes,1,R1548
m1527[C_pe],trans-hex-2-enoyl-CoA_,C27H44N7O17P3S,yes,1,R1488
m1449[C_em],trans-hexadec-2-enoyl-CoA,C37H64N7O17P3S,yes,1,R1421
m1451[C_em],trans-icos-2-enoyl-CoA_,C41H72N7O17P3S,yes,1,R1423
m1529[C_pe],trans-icos-2-enoyl-CoA_,C41H72N7O17P3S,yes,1,R1490
m1528[C_pe],trans-oct-2-enoyl-CoA_,C29H48N7O17P3S,yes,1,R1489
m1453[C_em],trans-tetracos-2-enoyl-CoA_,C45H80N7O17P3S,yes,1,R1425
m1531[C_pe],trans-tetracos-2-enoyl-CoA_,C45H80N7O17P3S,yes,1,R1492
m1576[C_pe],trans-tetradec-3-enoyl-CoA_,C35H56N7O17P3S,yes,1,R1551
m1634[C_em],triglyceride,C57H103O6,yes,1,R1729
m1640[C_lp],triglyceride,C57H106O6,yes,1,R1771
m1399[C_cy],triglyceride,C57H103O6,yes,1,R1707
