gene_id,ec_number,mnxr_id,bigg_reaction,kegg_reaction,metacyc_reaction,in_model,missing_metabolites,equation
YALI1E21128g,1.1.1.1,MNXR133713,,,,no,MNXM1|MNXM117518|MNXM36620|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM36620@MNXD1 = 1 MNXM117518@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR111862,,R08310,,no,MNXM1|MNXM6125|MNXM6882|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM6125@MNXD1 = 1 MNXM6882@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR133686,,,,no,MNXM1|MNXM526|MNXM740077|WATER,2 MNXM1@MNXD1 + 1 MNXM26@MNXD1 + 1 MNXM526@MNXD1 = 1 MNXM740077@MNXD1 + 1 WATER@MNXD1
YALI1E21128g,1.1.1.1,MNXR130004,,,,no,MNXM1|MNXM168967|MNXM8|MNXM88795,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM88795@MNXD1 = 1 MNXM168967@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR110642,,R06917,,no,MNXM1|MNXM6043|MNXM6494|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM6043@MNXD1 = 1 MNXM6494@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130012,,,,no,MNXM1|MNXM163325|MNXM169284|MNXM8,1 MNXM10@MNXD1 + 1 MNXM163325@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM169284@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR133532,,,,no,MNXM1|MNXM146122|MNXM731153,1 MNXM146122@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM731153@MNXD1
YALI1E21128g,1.1.1.1,MNXR131477,,,,no,MNXM1|MNXM19926|MNXM19927|MNXM8,1 MNXM10@MNXD1 + 1 MNXM19927@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM19926@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR131478,,,,no,MNXM1|MNXM7260|MNXM8|MNXM8520,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM7260@MNXD1 = 1 MNXM8520@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR135412,,,,no,MNXM5676|MNXM6216,1 MNXM5676@MNXD1 = 1 MNXM6216@MNXD1
YALI1E21128g,1.1.1.1,MNXR95726,R_ALCDH_nadp_hi,R00746,RXN-12484,no,MNXM1,1 MNXM1108092@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM738702@MNXD1 + 1 MNXM75@MNXD1
YALI1E21128g,1.1.1.1,MNXR113664,,R10308,RXN-11968,no,MNXM1|MNXM1368412|MNXM740315|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1368412@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM740315@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR95719,R_ALCD23yi,,RXN0-7119,no,MNXM1|MNXM5188|MNXM5189,1 MNXM1@MNXD1 + 1 MNXM5189@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5188@MNXD1 + 1 MNXM5@MNXD1
YALI1E21128g,1.1.1.1,MNXR130011,,,,no,MNXM1|MNXM1107133|MNXM165360|MNXM8,1 MNXM10@MNXD1 + 1 MNXM165360@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1107133@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR114023,,R10703,RXN-17571,no,MNXM1|MNXM3085|MNXM398|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM398@MNXD1 = 1 MNXM3085@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR134530,,,,no,MNXM5312|MNXM729378,1 MNXM5312@MNXD1 = 1 MNXM729378@MNXD1
YALI1E21128g,1.1.1.1,MNXR116586,,,RXN-10915,no,MNXM1|MNXM6093|MNXM730543|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM730543@MNXD1 = 1 MNXM6093@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR133788,,,,no,MNXM1|MNXM735095|MNXM735096|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM735095@MNXD1 = 1 MNXM735096@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR129422,,,,no,MNXM164358|MNXM727351|MNXM8,1 MNXM10@MNXD1 + 1 MNXM727351@MNXD1 = 1 MNXM164358@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR197289,,,,no,MNXM1|MNXM1095288|MNXM164810,1 MNXM1095288@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM164810@MNXD1 + 1 MNXM5@MNXD1
YALI1E21128g,1.1.1.1,MNXR146993,,,ALCOHOL-DEHYDROG-GENERIC-RXN,no,MNXM1107912|MNXM277|MNXM8,1 MNXM10@MNXD1 + 1 MNXM277@MNXD1 = 1 MNXM1107912@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR107794,,R02878,OCTANOL-DEHYDROGENASE-RXN,no,MNXM1|MNXM2410|MNXM2705|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM2705@MNXD1 = 1 MNXM2410@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR108795,,R04304,RXN3O-4113,no,MNXM1|MNXM479|MNXM4964|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM479@MNXD1 = 1 MNXM4964@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130029,,,,no,MNXM163325|MNXM169027|MNXM8,1 MNXM10@MNXD1 + 1 MNXM163325@MNXD1 = 1 MNXM169027@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR96697,R_CHOLD,R08557,RXN-6021,no,MNXM1|MNXM457|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM457@MNXD1 = 1 MNXM8@MNXD1 + 1 MNXM90@MNXD1
YALI1E21128g,1.1.1.1,MNXR147581,,R02246,,no,MNXM732495|MNXM8,1 MNXM10@MNXD1 + 1 MNXM732495@MNXD1 = 1 MNXM1105057@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR100327,R_GLYCDy,R01039,GLYCEROL-2-DEHYDROGENASE-NADP+-RXN,no,MNXM1|MNXM460,1 MNXM1@MNXD1 + 1 MNXM460@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM89612@MNXD1
